,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
4180,2022-08-09 06:07:28+00:00,https://twitter.com/NginyaDiyu/status/1556884850711330816,NginyaDiyu,Twitter Web App,DMV,"Elections in #Kenya. We hope there's no violence and the choice of the people should be respected. #Africa wishes the best
#Raila and #Ruto are the front runners 
https://t.co/ElOFkzLKD6",101,14,2,7
4181,2022-08-09 06:06:44+00:00,https://twitter.com/Methodiasjuma/status/1556884665352552450,Methodiasjuma,Twitter for Android,"Busia, Kenya","Maoni yako weka kwa ballot.
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/UlVcffqaLG",1,1,0,0
4182,2022-08-09 06:06:09+00:00,https://twitter.com/Methodiasjuma/status/1556884520326107137,Methodiasjuma,Twitter for Android,"Busia, Kenya","The 5th President of the Republic of Kenya. G-grandson to Nabongo Mumia. ✅
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/HT1lnjq0Bb",1,1,0,0
4183,2022-08-09 06:05:47+00:00,https://twitter.com/Methodiasjuma/status/1556884428441489409,Methodiasjuma,Twitter for Android,"Busia, Kenya","Done and dusted! My vote is safe waiting for results ju nishaVote!
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/15U4ybPp6C",2,2,0,0
4184,2022-08-09 06:05:07+00:00,https://twitter.com/Methodiasjuma/status/1556884259255848960,Methodiasjuma,Twitter for Android,"Busia, Kenya","Peace! Peace! Peace! Tusibleed ndio walead. Inawezekana.
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/8IC4LismU1",1,1,0,0
4185,2022-08-09 06:04:30+00:00,https://twitter.com/Methodiasjuma/status/1556884104372797445,Methodiasjuma,Twitter for Android,"Busia, Kenya","D Day, election day! Get positive on the required change.
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/G4nPhSIMUn",0,1,0,0
4186,2022-08-09 06:04:14+00:00,https://twitter.com/Drickolu/status/1556884037809197056,Drickolu,Twitter for Android,,@EAukot You dream was sooo good BUT WAKE UP  ITS BABATHE5TH #Azimio,0,0,0,0
4187,2022-08-09 06:03:40+00:00,https://twitter.com/Methodiasjuma/status/1556883895332773889,Methodiasjuma,Twitter for Android,"Busia, Kenya","The power to determine the destiny of a nation lies on the responsibility of voting peacefully.
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/08adaNv1Dv",10,12,0,0
4188,2022-08-09 06:02:55+00:00,https://twitter.com/Methodiasjuma/status/1556883704047407104,Methodiasjuma,Twitter for Android,"Busia, Kenya","Stand up for peaceful elections. Vote for BABA na MARTHA.
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/x4l6hirshn",1,1,0,0
4189,2022-08-09 06:02:08+00:00,https://twitter.com/Methodiasjuma/status/1556883508756365314,Methodiasjuma,Twitter for Android,"Busia, Kenya","Report election anomalities in your area as we vote in Raila Amolo Odinga. Just whistle
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/FQVgtjQCnO",0,1,0,0
4190,2022-08-09 06:01:45+00:00,https://twitter.com/Methodiasjuma/status/1556883409825562624,Methodiasjuma,Twitter for Android,"Busia, Kenya","Chaguo la #baba ni chaguo la #mama. Vote for charisma.
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/SGqJBl2kEE",0,1,0,0
4191,2022-08-09 06:01:28+00:00,https://twitter.com/Methodiasjuma/status/1556883341978238977,Methodiasjuma,Twitter for Android,"Busia, Kenya","Vote blue, don't waste your vote!
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/h8RFkA7qrF",0,1,0,0
4192,2022-08-09 06:01:08+00:00,https://twitter.com/Methodiasjuma/status/1556883256942936064,Methodiasjuma,Twitter for Android,"Busia, Kenya","Large numbers streamed in polling stations to Vote for their preferred leaders.
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/p5dcIG0HjN",0,1,0,0
4193,2022-08-09 06:00:33+00:00,https://twitter.com/Methodiasjuma/status/1556883108342931457,Methodiasjuma,Twitter for Android,"Busia, Kenya","Today's goals! Tupige kura tujitegemee
#JustVote
#JustVoted
#KenyaDecides2022
#KenyasChoice2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/QnmTAessqR",0,1,0,0
